,AGEP,SCHL,MAR,RELP,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,ESR
AGEP,1.0,0.53,-0.65,-0.16,-0.32,-0.5,0.14,-0.09,0.61,-0.08,0.16,-0.24,-0.13,0.3,0.05,0.11
SCHL,0.53,1.0,-0.44,-0.11,-0.03,-0.53,0.01,0.05,0.71,-0.06,0.03,-0.04,-0.0,0.51,0.02,0.43
MAR,-0.65,-0.44,1.0,0.32,0.08,0.4,-0.2,0.09,-0.49,0.07,-0.21,0.1,0.03,-0.24,-0.04,-0.24
RELP,-0.16,-0.11,0.32,1.0,-0.09,0.03,-0.01,0.2,-0.03,0.05,-0.02,-0.0,-0.04,-0.09,-0.04,-0.14
DIS,-0.32,-0.03,0.08,-0.09,1.0,0.09,0.04,-0.0,-0.1,-0.01,0.03,0.51,0.41,0.19,-0.0,0.21
ESP,-0.5,-0.53,0.4,0.03,0.09,1.0,-0.14,-0.02,-0.65,0.04,-0.15,0.06,0.04,-0.29,-0.01,-0.32
CIT,0.14,0.01,-0.2,-0.01,0.04,-0.14,1.0,-0.01,0.21,-0.15,0.98,0.03,-0.0,0.11,0.01,0.11
MIG,-0.09,0.05,0.09,0.2,-0.0,-0.02,-0.01,1.0,0.04,0.03,-0.02,0.02,-0.0,0.03,-0.01,0.02
MIL,0.61,0.71,-0.49,-0.03,-0.1,-0.65,0.21,0.04,1.0,-0.07,0.22,-0.04,-0.05,0.39,0.08,0.46
ANC,-0.08,-0.06,0.07,0.05,-0.01,0.04,-0.15,0.03,-0.07,1.0,-0.16,0.0,0.0,-0.05,0.0,-0.02
NATIVITY,0.16,0.03,-0.21,-0.02,0.03,-0.15,0.98,-0.02,0.22,-0.16,1.0,0.02,-0.0,0.11,0.02,0.11
DEAR,-0.24,-0.04,0.1,-0.0,0.51,0.06,0.03,0.02,-0.04,0.0,0.02,1.0,0.23,0.05,0.03,0.1
DEYE,-0.13,-0.0,0.03,-0.04,0.41,0.04,-0.0,-0.0,-0.05,0.0,-0.0,0.23,1.0,0.07,-0.01,0.07
DREM,0.3,0.51,-0.24,-0.09,0.19,-0.29,0.11,0.03,0.39,-0.05,0.11,0.05,0.07,1.0,0.01,0.27
SEX,0.05,0.02,-0.04,-0.04,-0.0,-0.01,0.01,-0.01,0.08,0.0,0.02,0.03,-0.01,0.01,1.0,-0.07
ESR,0.11,0.43,-0.24,-0.14,0.21,-0.32,0.11,0.02,0.46,-0.02,0.11,0.1,0.07,0.27,-0.07,1.0
